1,0,0,hering
2,0,1,corned_b
3,0,2,olives
4,0,3,ham
5,0,4,turkey
8,1,0,baguette
9,1,1,soda
10,1,2,hering
11,1,3,cracker
12,1,4,heineken
13,1,5,olives
14,1,6,corned_b
15,2,0,avocado
16,2,1,cracker
17,2,2,artichok
18,2,3,heineken
19,2,4,ham
20,2,5,turkey
21,2,6,sardines
22,3,0,olives
23,3,1,bourbon
24,3,2,coke
25,3,3,turkey
26,3,4,ice_crea
27,3,5,ham
28,3,6,peppers
29,4,0,hering
30,4,1,corned_b
31,4,2,apples
34,4,5,avocado
35,4,6,turkey
36,5,0,sardines
37,5,1,heineken
38,5,2,chicken
39,5,3,coke
40,5,4,ice_crea
41,5,5,peppers
42,5,6,ham
43,6,0,olives
44,6,1,bourbon
45,6,2,coke
46,6,3,turkey
47,6,4,ice_crea
48,6,5,heineken
49,6,6,apples
52,7,2,bourbon
53,7,3,cracker
54,7,4,chicken
55,7,5,ice_crea
56,7,6,baguette
57,8,0,soda
58,8,1,olives
59,8,2,bourbon
60,8,3,cracker
61,8,4,heineken
62,8,5,peppers
63,8,6,baguette
64,9,0,corned_b
65,9,1,peppers
66,9,2,bourbon
67,9,3,cracker
68,9,4,chicken
69,9,5,bordeaux
70,9,6,hering
71,10,0,baguette
72,10,1,sardines
73,10,2,apples
74,10,3,peppers
75,10,4,avocado
76,10,5,steak
77,10,6,turkey
78,11,0,baguette
79,11,1,hering
80,11,2,avocado
81,11,3,artichok
82,11,4,heineken
83,11,5,apples
84,11,6,corned_b
85,12,0,hering
86,12,1,corned_b
87,12,2,apples
88,12,3,olives
89,12,4,steak
90,12,5,sardines
91,12,6,heineken
92,13,0,baguette
93,13,1,sardines
94,13,2,apples
95,13,3,peppers
96,13,4,avocado
97,13,5,steak
98,13,6,ice_crea
99,14,0,hering
100,14,1,corned_b
101,14,2,olives
102,14,3,ham
103,14,4,turkey
104,14,5,coke
105,14,6,apples
106,15,0,olives
107,15,1,bourbon
108,15,2,coke
109,15,3,turkey
110,15,4,ice_crea
111,15,5,artichok
112,15,6,ham
113,16,0,baguette
114,16,1,hering
115,16,2,avocado
116,16,3,artichok
117,16,4,heineken
118,16,5,coke
119,16,6,turkey
120,17,0,sardines
121,17,1,heineken
122,17,2,chicken
123,17,3,coke
124,17,4,ice_crea
125,17,5,corned_b
126,17,6,apples
127,18,0,soda
128,18,1,olives
129,18,2,bourbon
130,18,3,cracker
131,18,4,heineken
132,18,5,baguette
133,18,6,peppers
134,19,0,soda
135,19,1,olives
136,19,2,bourbon
137,19,3,cracker
138,19,4,heineken
139,19,5,steak
140,19,6,hering
141,20,0,hering
142,20,1,corned_b
143,20,2,olives
144,20,3,ham
145,20,4,turkey
146,20,5,apples
147,20,6,baguette
148,21,0,baguette
149,21,1,hering
150,21,2,avocado
151,21,3,artichok
152,21,4,heineken
153,21,5,bourbon
154,21,6,corned_b
155,22,0,soda
156,22,1,olives
157,22,2,bourbon
158,22,3,cracker
159,22,4,heineken
160,22,5,artichok
161,22,6,steak
162,23,0,soda
163,23,1,olives
164,23,2,bourbon
165,23,3,cracker
166,23,4,heineken
167,23,5,corned_b
168,23,6,hering
169,24,0,sardines
170,24,1,heineken
171,24,2,chicken
172,24,3,coke
173,24,4,ice_crea
174,24,5,apples
175,24,6,baguette
176,25,0,sardines
177,25,1,heineken
178,25,2,chicken
179,25,3,coke
180,25,4,ice_crea
181,25,5,corned_b
182,25,6,peppers
